name,address
25A-25B Phố Huế,"25A-25B Phố Huế, 25 P. Huế, Hàng Bài, Hoàn Kiếm, Hà Nội"
376-378 Lĩnh Nam,"376-378 Lĩnh Nam, 378 Đ. Lĩnh Nam, Lĩnh Nam, Hai Bà Trưng, Hà Nội"
18 Nguyễn Khoái,"18 Nguyễn Khoái, 3 Nguyễn Khoái, Bạch Đằng, Hai Bà Trưng, Hà Nội"
Đối Diện Tượng Đài Bắc Sơn - Hoàng Diệu,"Đối Diện Tượng Đài Bắc Sơn - Hoàng Diệu, Hoàng Diệu, Quán Thánh, Ba Đình, Hà Nội"
"09, 36","09, 36, P. Lê Thái Tổ, Hàng Trống, Hoàn Kiếm, Hà Nội"
18 Lý Thường Kiệt - Tổng Công Ty Du Lịch Hà Nội,"18 Lý Thường Kiệt - Tổng Công Ty Du Lịch Hà Nội, Phan Chu Trinh, Hoàn Kiếm, Hà Nội"
91-93 Lê Hồng Phong,"91-93 Lê Hồng Phong, Điện Biên, Ba Đình, Hà Nội"
80 Trần Nhật Duật,"80 Trần Nhật Duật, 80 Trần Nhật Duật, Phố cổ Hà Nội, Hoàn Kiếm, Hà Nội"
"A Chau Service And Trade Co.,Ltd","A Chau Service And Trade Co.,Ltd, 249 Kim Ma Street, Ba Dinh District, Ha Noi City"
d'LIONS Restaurant,"d'LIONS Restaurant, 92 Đ. Lê Duẩn, Văn Miếu, Hoàn Kiếm, Hà Nội"
MẸT Vietnamese Restaurant & Vegetarian Met 2,"MẸT Vietnamese Restaurant & Vegetarian Met 2, 42 P. Lương Văn Can, Hàng Gai, Hoàn Kiếm, Hà Nội 11015"
Nhà Hàng Nam Phương - Hà Nội,"Nhà Hàng Nam Phương - Hà Nội, 19 P. Phan Chu Trinh, Phan Chu Trinh, Hoàn Kiếm, Hà Nội 11021"
Nhà hàng Vị An,"Nhà hàng Vị An, 145 P. Hoàng Cầu, Chợ Dừa, Đống Đa, Hà Nội 100000"
Nhà Hàng Hải Sư,"Nhà Hàng Hải Sư, 111-k1 P. Giảng Võ, Chợ Dừa, Đống Đa, Hà Nội"
Nhà hàng Cánh Buồm,"Nhà hàng Cánh Buồm, 150 Đ. Trường Chinh, Khương Thượng, Đống Đa, Hà Nội"
Essence Restaurant,"Essence Restaurant, 38A P. Trần Phú, Điện Biên, Ba Đình, Hà Nội 10000"
Nhà hàng Hải sản Tomato,"Nhà hàng Hải sản Tomato, 82 P. Lê Văn Hưu, Hàng Bài, Hoàn Kiếm, Hà Nội"
Nhà hàng,"Nhà hàng, 56 P. Huế, Bùi Thị Xuân, Hai Bà Trưng, Hà Nội"
Nhà hàng Ngự Uyển,"Nhà hàng Ngự Uyển, C4, 104, Đống Đa, Hà Nội"
Long Wang - Lẩu Hấp Thủy Nhiệt Hồng Kông - 84 Ngọc Khánh,"Long Wang - Lẩu Hấp Thủy Nhiệt Hồng Kông - 84 Ngọc Khánh, 84 P. Ngọc Khánh, Giảng Võ, Ba Đình, Hà Nội 100000"
Nhà hàng Nấm Việt Hà Thành,"Nhà hàng Nấm Việt Hà Thành, 76 P. Lò Đúc, Phạm Đình Hổ, Hai Bà Trưng, Hà Nội"
Trung tâm tiệc cưới Long Vĩ,"Trung tâm tiệc cưới Long Vĩ, 3A P. Đào Duy Anh, Phương Mai, Đống Đa, Hà Nội"
Thế Giới Hải Sản - Seafood World - 75A Trần Hưng Đạo,"Thế Giới Hải Sản - Seafood World - 75A Trần Hưng Đạo, 75A Trần Hưng Đạo, Hoàn Kiếm, Hà Nội"
Hansarang Nhà hàng Hàn Quốc,"Hansarang Nhà hàng Hàn Quốc, 464 P. Bạch Mai, Trương Định, Hai Bà Trưng, Hà Nội"
Nhà Hàng,"Nhà Hàng, 10 P. Đặng Tiến Đông, Quang Trung, Đống Đa, Hà Nội"
Nhà Hàng Phương Nam - Quán ăn miền tây ở Hà Nội,"Nhà Hàng Phương Nam - Quán ăn miền tây ở Hà Nội, The Golden Palm, Tầng 1 tòa nhà, số 21 Đ. Lê Văn Lương, Thanh Xuân, Hà Nội 100000"
Khuê Restaurant,"Khuê Restaurant, 46A P. Nguyễn Trường Tộ, Trúc Bạch, Ba Đình, Hà Nội 10000"
Nhà Hàng Jacksons Steakhouse,"Nhà Hàng Jacksons Steakhouse, 23J P. Hai Bà Trưng, Hàng Bài, Hoàn Kiếm, Hà Nội"
Nhà Hàng Nét Huế,"Nhà Hàng Nét Huế, 153 P. Láng Hạ, Láng Hạ, Đống Đa, Hà Nội 100000"
Ngon Garden,"Ngon Garden, 70 P. Nguyễn Du, Trần Hưng Đạo, Hai Bà Trưng, Hà Nội"
Nhà hàng Quảng Đông Fu Rong Hua,"Nhà hàng Quảng Đông Fu Rong Hua, 9 P. Đinh Tiên Hoàng, Hàng Trống, Hoàn Kiếm, Hà Nội"
SUSHI ICHI,"SUSHI ICHI, 98 P. Nguyễn Hữu Huân, Hàng Bạc, Hoàn Kiếm, Hà Nội 00084"
Ha Noi Best,"Ha Noi Best, 7a P. Đinh Liệt, Hàng Đào, Hoàn Kiếm, Hà Nội"
Nhà hàng Ẩm Thực Phố,"Nhà hàng Ẩm Thực Phố, 51 P. Giang Văn Minh, Kim Mã, Ba Đình, Hà Nội 100000"
The Rhythms Restaurant,"The Rhythms Restaurant, 33-35 P. Hàng Dầu, street, Hoàn Kiếm, Hà Nội 100000"
Góc Hà Nội,"Góc Hà Nội, 160 P. Ô Chợ Dừa, Chợ Dừa, Đống Đa, Hà Nội"
Nét Huế Restaurant,"Nét Huế Restaurant, 198 P. Hàng Bông, Hàng Bông, Hoàn Kiếm, Hà Nội"
Nhà hàng Chen by NamChen,"Nhà hàng Chen by NamChen, 116 P. Hoàng Ngân, Trung Hoà, Cầu Giấy, Hà Nội"
Jaspas,"Jaspas, Hanoi Tower, 49 P. Hai Bà Trưng, Trần Hưng Đạo, Hoàn Kiếm, Hà Nội"
El Gaucho | Tràng Tiền,"El Gaucho | Tràng Tiền, 11 Tràng Tiền, Hoàn Kiếm, Hà Nội"
Era Restaurant- Vietnamese cuisine,"Era Restaurant- Vietnamese cuisine, 48 P. Mã Mây, Hàng Buồm, Hoàn Kiếm, Hà Nội 100000"
Quán An Ngon,"Quán An Ngon, 18 P. Phan Bội Châu, Cửa Nam, Hoàn Kiếm, Hà Nội 111103"
